model,month,mae,rmse,rmae
naive,2026-01,180.58955309139785,304.26498969636833,1.0
naive,2026-02,71.70761904761905,104.12251089086716,1.0
naive,2026-03,128.93225437415882,174.926231692155,1.0
naive,2026-04,138.31536111111112,224.62394739922172,1.0
naive,2026-05,110.64031250000002,203.4333991650381,1.0
naive,2026-06,136.50951041666667,217.72543597836813,1.0
naive,ALL,128.60536783329496,214.67465736323217,1.0
seasonal_naive,2026-01,216.17333669354838,360.0503557488741,1.1970423149789915
seasonal_naive,2026-02,99.13892113095237,158.20222652772497,1.3825437582178952
seasonal_naive,2026-03,145.50385262449527,186.98719556826757,1.128529500478957
seasonal_naive,2026-04,187.28332291666666,285.0971402237467,1.354031261692031
seasonal_naive,2026-05,150.14169690860214,283.67803424465495,1.3570252425724314
seasonal_naive,2026-06,145.22950694444444,240.46668349270888,1.0638783078275045
seasonal_naive,ALL,158.11152198940826,262.5061914490051,1.2294317465376774
lgbm,2026-01,100.50838811721059,182.9794753367334,0.5565570455027511
lgbm,2026-02,95.23673648097338,128.65529128400888,1.328125766074164
lgbm,2026-03,87.68352243405263,118.32523781678505,0.6800743759555837
lgbm,2026-04,99.74960363880248,163.82643265368975,0.721175166933714
lgbm,2026-05,87.1188739606633,147.3660075820043,0.787406253581065
lgbm,2026-06,87.38904626290433,144.61181579070268,0.6401681904518416
lgbm,ALL,92.90408818763119,149.42856674014237,0.7223966600527775
